perturbation,centered_pearson,rmse
CCDC169-SOHLH2,-0.19160984743985046,0.09217994899740022
CCN3,-0.37426869130873347,0.0960857178294319
CCNH,-0.28758198897183757,0.08413262528696722
CCNT1,-0.2323446317690676,0.0703938680691348
CCNT2,-0.21481155064818605,0.09356022623540167
CDC5L,-0.3370173153093286,0.10948733785037199
CDCA7L,-0.5673355079276131,0.1652871574034906
CDIP1,-0.33115271552549785,0.11084066599075856
CDK1,-0.36310836863858853,0.1446524954823306
CDK2,-0.3804602034292418,0.11244063154134269
CDK7,-0.17036944889047412,0.08588039799018277
CDK9,-0.2627820086811717,0.08360988429929288
CDX1,-0.15466218295367623,0.06921860354064552
CDX2,-0.4726970214703575,0.13053837398255366
CDX4,-0.15237436765222756,0.0923179084453793
CEBPA,-0.4247279612790255,0.15816868751750257
CEBPB,-0.5498514281277549,0.15765742419585246
CEBPD,-0.4783029778438167,0.12977416836998162
CEBPE,-0.2695410793607262,0.0955840498656636
CEBPG,-0.24189437293703728,0.08181659138493211
CEBPZ,-0.2705315116922731,0.08301697574738398
CERS3,-0.27480485773847146,0.0858111946270418
CERS4,-0.22286999027122834,0.078489429369161
CERS5,-0.26164909781167134,0.09868206728064405
CERS6,-0.25922238211674004,0.09405057214628652
CHD3,-0.381095661602394,0.10373295205844389
CHD5,-0.4079319507359097,0.09679868932707258
CHD6,-0.4771061618067634,0.12337234616970212
CHD7,-0.2063333714808133,0.08708677378710461
CHURC1,-0.1348650900630829,0.08447022434458064
CIC,-0.40603182098733437,0.09797540671501437
CIITA,-0.3485198216779201,0.10420425361692777
CIZ1,-0.4299228709930147,0.1255893054886163
CLOCK,-0.11538187300081365,0.07569123515642828
CNBP,-0.14327965186106467,0.07923693945640681
CNOT3,-0.19712311592164214,0.08639286668834388
CRAMP1,-0.20669420112012715,0.07631153118398938
CREB1,-0.15599862878814919,0.08355425132007713
CREB3L1,-0.2392253070573724,0.07728779643375118
CREB3L2,-0.31596692900425205,0.1057228079599349
CREB3L3,-0.2505843219311903,0.10453243560612308
CREB3L4,-0.418951521305039,0.10555957727651033
CREB3,-0.30499697502478035,0.11395754378059471
CREB5,-0.5983450487963595,0.17976322302158895
CREBBP,-0.3698595002890374,0.11626624727939526
CREBL2,-0.27314681126839646,0.0790106110726644
CREBZF,-0.26981866147621303,0.09321998876069962
CREM,-0.17149860616207896,0.1017818927023957
CRTC1,-0.2529972091419546,0.07816542297773743
CRTC2,-0.29576673679626897,0.1130444331100644
CRTC3,-0.4606231199383442,0.12443195906815743
CRX,-0.4457292029163868,0.14296701889571595
CSDC2,-0.24810884217251025,0.0925934098315516
CSDE1,-0.44424411999047075,0.15080667121020538
CTBP1,-0.24053740219599987,0.07081213403688778
CTBP2,-0.37906168785666833,0.13369912007031415
CTCFL,-0.45616197375130796,0.09445833835230594
CTCF,-0.13225095418865265,0.07134780125778868
CTNNB1,-0.43007073047247574,0.09013711817742764
